# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "6" "-p" "-a" "/mnt/data/bioinfo/rna_seq_project/reference/Saccharomyces_cerevisiae.R64-1-1.111.gtf" "-o" "gene_counts.txt" "aligned_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aligned_sorted.bam
YDL246C	IV	8683	9756	-	1074	4
YDL243C	IV	17577	18566	-	990	203
YDR387C	IV	1248154	1249821	-	1668	472
YDL094C	IV	289572	290081	-	510	23
YDR438W	IV	1338274	1339386	+	1113	226
YDR523C	IV	1485566	1487038	-	1473	36
YDR542W	IV	1523249	1523611	+	363	0
YDR492W	IV	1434924	1435874	+	951	420
YDR018C	IV	482670	483860	-	1191	23
YDL189W	IV	122216	123589	+	1374	840
YDR508C	IV	1466453	1468444	-	1992	2409
YDR462W	IV	1386073	1386516	+	444	451
YDR175C	IV	813193	814152	-	960	837
YDR186C	IV	832859	835492	-	2634	1439
YDR150W	IV	755628	763874	+	8247	1895
YDR243C	IV	948518	950284	-	1767	235
YDL182W	IV	133437	134723	+	1287	9106
YDR362C	IV	1196679	1198697	-	2019	491
YDR232W	IV	927452	929098	+	1647	1436
YDR158W	IV	770357	771454	+	1098	7222
YDR439W	IV	1339676	1340719	+	1044	256
YDL206W	IV	90176	92464	+	2289	346
YDR125C	IV	701397	702758	-	1362	151
YDR338C	IV	1147379	1149466	-	2088	328
YDR526C	IV	1491075	1491545	-	471	0
YDR533C	IV	1501447	1502160	-	714	955
YDR272W	IV	1009010	1009834	+	825	913
YDR197W	IV	851228	852397	+	1170	397
YDR512C	IV	1470500	1471063	-	564	288
YDR489W	IV	1431012	1431896	+	885	153
YDR299W	IV	1059627	1061231	+	1605	1124
YDL015C	IV	426002	426934	-	933	2237
YDR304C	IV	1071880	1072557	-	678	1693
YDR271C	IV	1008395	1008766	-	372	0
YDL181W	IV	135179	135436	+	258	742
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	490
YDR085C	IV	614288	616150	-	1863	261
YDL097C	IV	285391	286695	-	1305	3171
YDL139C	IV	211375	212046	-	672	139
YDR200C	IV	854279	856093	-	1815	460
YDR191W	IV	842337	843449	+	1113	106
YDR451C	IV	1361120	1362181	-	1062	587
YDR469W	IV	1399015	1399542	+	528	471
YDR470C	IV	1399706	1401214	-	1509	520
YDR105C	IV	665349	666770	-	1422	1107
YDR483W	IV	1421157	1422485	+	1329	2577
YDL123W	IV	241418	241840	+	423	305
YDL199C	IV	101290	103353	-	2064	105
YDR505C	IV	1456695	1459220	-	2526	981
YDL045W-A	IV	372248	372535	+	288	530
YDL045C	IV	372688	373608	-	921	404
YDR361C	IV	1195412	1196263	-	852	1052
YDR406W-A	IV	1283799	1284044	+	246	0
YDR199W	IV	854175	854540	+	366	3
YDR266C	IV	1000104	1002023	-	1920	965
YDL242W	IV	18959	19312	+	354	40
YDR002W	IV	453045	453650	+	606	3927
YDR214W	IV	892875	893927	+	1053	2072
YDR130C	IV	715747	716622	-	876	337
YDL176W	IV	142097	144223	+	2127	251
YDR358W	IV	1190059	1191732	+	1674	390
YDR544C	IV	1525095	1525523	-	429	0
YDR460W	IV	1383811	1384776	+	966	408
snR84	IV	1492477	1493026	-	550	82
YDR034W-B	IV	521314	521469	+	156	65
YDL028C	IV	400997	403291	-	2295	570
YDR061W	IV	574164	575783	+	1620	1027
YDR060W	IV	570649	573726	+	3078	3279
YDR169C-A	IV	794574	794723	-	150	16
YDR363W	IV	1199183	1200553	+	1371	255
YDR422C	IV	1315326	1317773	-	2448	662
YDR119W	IV	688227	690533	+	2307	2390
tR(ACG)D	IV	619969	620041	-	73	1
